,,,,,,,,#success,#errors,Bottom,ML,,Top,AL,,Ripple var,,,Input var,,,Comments,#electrode connector,,,,,,,,LabVIEW,,
,Date,path,Tank,time,Block,Task,channels,#success,#errors,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,,,,,,,,sorter STD,filter,,,
7,"June 9, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_09_64_sr25k,,2,STRF,64,,,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,1 turn=0.435mm,,,,,,,3.5,300-7k,jun_9_17,,
7,"June 9, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_09_64_sr25k,,3,VOC,64,,,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,0.02175,,,,,,,4,300-7k,jun_9_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"June 13, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_13_64_sr25k,,1,Textures,64,278,427,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig, ,Noisy,,,,,,,3.5,300-7k,jun13_17,,
8,"June 13, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_13_64_sr25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig, ,"STRF changed to 10min session,, double # of triggers",,,,,,,3.5,300-7k,jun13_17,,
8,"June 13, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_13_64_sr25k,,3,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig, , ,,,,,,,4,300-7k,jun13_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,1,Textures,64,153,118,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,Zbus error,,,,,,,3.5,300-7k,jun14_17,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,2,Textures,64, , ,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,"Noise reduced when grabbiing josystick, monkey gets grounded",,,,,,,3.5,300-7k,jun14_17,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,3,STRF,64,,,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,Chair grounded at 2nd block,,,,,,,3.5,300-7k,jun14_17,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,4,VOC,64,,,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,"TDT crashed sound comp,pause at 50:28, second block starts t 154/119",,,,,,,4,300-7k,jun14_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"June 15, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_15_64_sr25k,9:50,1,Textures,64, , ,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,jun15_17,,
10,"June 15, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_15_64_sr25k,12:00,2,STRF,64, , ,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,jun15_17,,
10,"June 15, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_15_64_sr25k,12:15,3,VOC,64,,,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,jun15_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"June 17, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_17_64_sr25k, ,1,Textures,64,232,170,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,"Paused at 400, Beh stopped at 652",,,,,,,3.5,300-7k,Jun17_17,,
11,"June 17, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_17_64_sr25k, ,2,STRF,64, , ,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,Missed one at beginning of block 3,,,,,,,3.5,300-7k,Jun17_17,,
