,,,,,,,,#success,#errors,Bottom,ML,,Top,AL,,Ripple var,,,Input var,,,Comments,#electrode connector,,,,,,,,LabVIEW,,
,Date,path,Tank,time,Block,Task,channels,#success,#errors,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,,,,,,,,sorter STD,filter,,,
24,"July 10, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul10_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul10_17,,
24,"July 10, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul10_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul10_17,,
24,"July 10, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul10_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,jul10_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"July 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul11_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,shaking stopped at 221 trials,32,64,32,64,96,128,3.5,300-7k,Jul11_17,,
25,"July 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul11_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul11_17,,
25,"July 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul11_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jul11_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"July 12, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul12_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul12_17,,
26,"July 12, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul12_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul12_17,,
26,"July 12, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul12_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,jul12_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"July 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul13b_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Shaking stopped at 600,32,64,32,64,96,128,3.5,300-7k,jul13_17,,
27,"July 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul13b_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Data seems not to be saved for block1,32,64,32,64,96,128,3.5,300-7k,jul13_17,,
27,"July 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul13b_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,TDT chrashed and screwed the tank for block1,32,64,32,64,96,128,3.5,300-7k,jul13_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"July 23, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul23_17_192ch_sr25k, ,1,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul23_17,,
28,"July 23, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul23_17_192ch_sr25k, ,2,VOC,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul23_17,,
28,"July 23, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul23_17_192ch_sr25k, ,3,Textures,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Shorter run,32,64,32,64,96,128,3.5,300-7k,Jul23_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"July 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul25_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Stopped at 319, shaking…also PZ564 seems to be only clipping",32,64,32,64,96,128,3.5,300-7k,jul25_17,,
29,"July 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul25_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul25_17,,
29,"July 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul25_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul25_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"July 26, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul26_17_192ch_sr25k, ,1,Textures,96,309,200,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Stopped at 509, shaking…, ttank error for snip store, streamer at 80%",32,64,32,64,96,128,3.5,300-7k,Jul26_17,,
30,"July 26, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul26_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul26_17,,
30,"July 26, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul26_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul26_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"July 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul27_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul27_17,,
31,"July 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul27_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul27_17,,
31,"July 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul27_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul27_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"August 2, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Texture-170802-111618, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Beep started after the first hour,32,64,32,64,96,128,3.5,300-7k,Aug2_17,,z:\Tanks\
32,"August 2, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Texture-170802-134744, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug2_17,,z:\Tanks\
32,"August 2, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Texture-170802-135853, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug2_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
33,"August 4, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170804, ,1,BTextures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Noise in room after one hour of recording,32,64,32,64,96,128,3.5,300-7k,Aug4_17,,z:\Tanks\
33,"August 4, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170804, ,2,BTextures,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Texture block will be 1 hour long max….,32,64,32,64,96,128,3.5,300-7k,Aug4_17,,z:\Tanks\
33,"August 4, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170804, ,3,BTextures,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Stopped Sam was shaking too much…,32,64,32,64,96,128,3.5,300-7k,Aug4_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
34,"August 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170807, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Short block, shaking a lot",32,64,32,64,96,128,3.5,300-7k,Aug7_17,,z:\Tanks\
34,"August 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170807, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,STRF+10min of spontaneous,32,64,32,64,96,128,3.5,300-7k,Aug7_17,,z:\Tanks\
34,"August 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170807, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,TDT told to connect external GND,32,64,32,64,96,128,3.5,300-7k,Aug7_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
35,"August 9, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170809, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Unplugging all grounds just PZ% external ground to Ref from probe,32,64,32,64,96,128,3.5,300-7k,Aug9_17,,z:\Tanks\
35,"August 9, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170809, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Shaking a lot,32,64,32,64,96,128,3.5,300-7k,Aug9_17,,z:\Tanks\
35,"August 9, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170809, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Act in 1,10,17(64),  and 80,100, 125/128",32,64,32,64,96,128,3.5,300-7k,Aug9_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
36,"August 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170811, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug11_17,,z:\Tanks\
36,"August 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170811, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Shaking a lot,32,64,32,64,96,128,3.5,300-7k,Aug11_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
37,"August 15, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170815, ,1,BAD,96,194,285,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"External ground connected to the chamber, reduce noise to about 30mv",32,64,32,64,96,128,5,300-7k,Aug15_17,,z:\Tanks\
37,"August 15, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170815, ,2,Textures,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"stopped at 1:43, shaking a lot, there is about 40min in block one before session with Victor",32,64,32,64,96,128,5,300-7k,Aug15_17,,z:\Tanks\
37,"August 15, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170815, ,3,STRF,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Block-1 before change in ground,32,64,32,64,96,128,5,300-7k,Aug15_17,,z:\Tanks\
37,"August 15, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170815,,4,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,5,300-7k,Aug15_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
38,"August 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170817, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug17_17,,z:\Tanks\
38,"August 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170817, ,2,BAD,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Shaking a lot stopped to give a treat, before restarting STRF",32,64,32,64,96,128,3.5,300-7k,Aug17_17,,z:\Tanks\
38,"August 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170817, ,3,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug17_17,,z:\Tanks\
38,"August 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170817, ,4,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug17_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
39,"August 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170818, ,1,Textures,96,155,646,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug18_17,,z:\Tanks\
39,"August 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170818, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug18_17,,z:\Tanks\
39,"August 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170818, ,3,VOC,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug18_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
40,"August 24, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170824, ,1,Textures,96,150,214,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug24_17,,z:\Tanks\
40,"August 24, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170824, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug24_17,,z:\Tanks\
40,"August 24, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170824, ,3,VOC,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug24_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
41,"August 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170829, ,1,Textures,96,53,176,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Only run him on the NS, for about 1 hour",32,64,32,64,96,128,3.5,300-7k,Aug29_17,,z:\Tanks\
41,"August 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170829, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug29_17,,z:\Tanks\
41,"August 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170829, ,3,VOC,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Aug29_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
42,"September 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170911, ,1,Textures,96,53,176,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Joystick was not working,32,64,32,64,96,128,3.5,300-7k,sep11_17,,z:\Tanks\
42,"September 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170911, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,sep11_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
43,"September 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170913, ,1,BAD,96,53,176,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,sep13_17b,,z:\Tanks\
43,"September 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170913, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,sep13_17b,,z:\Tanks\
43,"September 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170913, ,3,Textures,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,sep13_17b,,z:\Tanks\
43,"September 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170913, ,3,VOC,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,30 sounds 4S intersound 10 reps,32,64,32,64,96,128,3.5,300-7k,sep13_17b,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
44,"September 19, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170919, ,1,Textures,96,53,176,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Only run him on the NS, for about 1 hour",32,64,32,64,96,128,3.5,300-7k,Sep19_17,,z:\Tanks\
44,"September 19, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170919, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Sep19_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
45,"September 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170927, ,1,BAD,96,53,176,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"TDT system crashed, had to put Sam back",32,64,32,64,96,128,3.5,300-7k,Sep27_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
46,"September 28, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170928, ,1,BAD,96,53,176,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Matlab crashed,32,64,32,64,96,128,3.5,300-7k,Sep28_17,,z:\Tanks\
46,"September 28, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170928, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Electrode moved .9mm,32,64,32,64,96,128,3.5,300-7k,Sep28_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
47,"September 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170929, ,1,BAD,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Matlab crashed,32,64,32,64,96,128,3.5,300-7k,Sep29_17,,z:\Tanks\
47,"September 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170929, ,2,Textures,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Sep29_17,,z:\Tanks\
47,"September 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-170929, ,3,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Sep29_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
48,"October 4, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171004, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Oct4_17,,z:\Tanks\
48,"October 4, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171004, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Oct4_17,,z:\Tanks\
48,"October 4, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171004, ,3,VOC,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Oct4_17,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
